BookTitle,Work Order Status,,,,,,,,,,,,,,,,,,,,,,,,
"e-Pack: Sociology: A Global Perspective, Loose-leaf Version, 9th + MindTap Sociology powered by Knewton, 1 term (6 months) Instant Access",Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
My People the Sioux,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Lakota Woman,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
A Misplaced Massacre,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
The Assassination of Hole in the Day,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,
CHM145 Lab Manual W23 Edition,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Campbell Biology,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Modified Mastering Biology with Pearson eText -- Access Card -- for Campbell Biology (18-Weeks),Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Developing the Public Relations Campaign : A Team-Based Approach,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Cognitive Psychology in and Out of the Laboratory,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Save The Cat!: The Last Book On Screenwriting You'll Ever Need,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
The Comic Toolbox,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Justice : What's the Right Thing to Do?,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Living Ethics An Introduction with Readings,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Ecology: The Economy of Nature,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Whatever It Takes : Geoffrey Canada's Quest to Change Harlem and America,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
"So You Think I Drive a Cadillac?"" Welfare Recipients' Perspectives on the System and Its Reform""",Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Family Poverty In Diverse Contexts,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Understanding Comics: The Invisible Art,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition for Miami University,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition for Miami University,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Modified Mastering A&P with Pearson eText -- Standalone Access Card -- for Human Anatomy & Physiology,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
A Photographic Atlas for Anatomy & Physiology,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
"Human Anatomy & Physiology Laboratory Manual, Cat Version",Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Miami University of OH Oxford Connect AC Microbiology: Sys Approach,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition for Miami University,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
CREATING CULTURES OF THINKING,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Nonprofit Management,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
The Anti-Racist Organization Dismantling Systemic Racism in the Workplace,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Social Policy for Children and Families,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Engineering Mechanics: Statics [RENTAL EDITION],Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Autodesk Inventor 2020 and Engineering Graphics,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
"benchmark series: microsoft excel 365, 2019 edition - level 2 (Edition: Yearly Ed.)",Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Marketing the core,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Business Law,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Business Law,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Business Law,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
"Fundamentals of Heat and Mass Transfer, Eigth Edition EPUB Standalone Access Card",Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Comparative Politics,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Modern Marketing Principles and Video Case Studies,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
The Comic Toolbox,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Save The Cat!: The Last Book On Screenwriting You'll Ever Need,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
